# Cores,Memory (GB),Average watts @ active idle,Average watts @ 10% of target load,Average watts @ 20% of target load,Average watts @ 30% of target load,Average watts @ 40% of target load,Average watts @ 50% of target load,Average watts @ 60% of target load,Average watts @ 70% of target load,Average watts @ 80% of target load,Average watts @ 90% of target load,Average watts @ 100% of target load,speed @ active idle,speed @ 10% of target load,speed @ 20% of target load,speed @ 30% of target load,speed @ 40% of target load,speed @ 50% of target load,speed @ 60% of target load,speed @ 70% of target load,speed @ 80% of target load,speed @ 90% of target load,speed @ 100% of target load
64,256.0,187.0,324.0,384.0,443.0,503.0,561.0,614.0,659.0,702.0,742.0,779.0,0.3398265647798536,0.3398265647798536,0.3381705908711643,0.33864387136270013,0.34003603710040997,0.3392050032759481,0.3388297304398484,0.33947138677762195,0.33934706359516187,0.3394010185868203,0.33825895010456264
64,256.0,177.0,302.0,352.0,403.0,455.0,507.0,554.0,596.0,637.0,680.0,713.0,0.3393573467818073,0.3393573467818073,0.34129134758868973,0.3418136319079436,0.33995110559589353,0.3403353920894233,0.34003070507770494,0.3400372340850989,0.3393070734248738,0.34075010496648445,0.3394914090669634
64,64.0,130.0,233.0,274.0,317.0,364.0,410.0,453.0,493.0,525.0,561.0,588.0,0.5437151911594846,0.5437151911594846,0.5380748251985541,0.5372891389576696,0.5418035848479635,0.5404221339368325,0.5402181967636556,0.5425204698598208,0.54058483680109,0.5409074664923873,0.5377043257923045
48,64.0,127.0,220.0,254.0,293.0,339.0,386.0,428.0,463.0,497.0,530.0,559.0,0.5795725868205731,0.5795725868205731,0.5756070853630585,0.5800001642603513,0.5778960465385927,0.5773654341076851,0.5802967262850904,0.5801763023709351,0.5804363744987947,0.5787428225253267,0.578344698163348
48,32.0,143.0,235.0,260.0,290.0,325.0,361.0,397.0,430.0,459.0,487.0,518.0,0.6299012226833737,0.6299012226833737,0.6350443394411798,0.6348957682507038,0.6368019482316352,0.6331277710840393,0.6340971981018951,0.633758933337865,0.6341798988622188,0.6343835071668751,0.6311652385148452
12,32.0,83.5,105.0,117.0,130.0,147.0,165.0,182.0,198.0,212.0,240.0,255.0,0.9886094156862788,0.9886094156862788,0.9867130437253436,0.984907671618575,0.988000041662842,0.9875213174300301,0.9852375460899288,0.9862986693894066,0.9857551077605011,0.9848145051012139,0.9816869267800373
16,128.0,96.6,138.0,156.0,177.0,202.0,229.0,255.0,282.0,325.0,386.0,414.0,0.5539169248105136,0.5539169248105136,0.5536955189153315,0.5535540087254446,0.5552930944801082,0.5551251103743141,0.5546847360800439,0.5575226779606207,0.5544745020419581,0.5562501502380282,0.5545994237167627
12,128.0,96.0,133.0,147.0,163.0,181.0,199.0,219.0,237.0,272.0,305.0,323.0,0.42788249610742596,0.42788249610742596,0.4283699953261753,0.4269178385624461,0.4303233160594826,0.42619308972390535,0.4274533490678905,0.42755960701448803,0.42544500001367896,0.4281449578080254,0.42616694203853606
12,128.0,98.2,135.0,150.0,165.0,182.0,201.0,221.0,240.0,276.0,308.0,327.0,0.45683551789006066,0.45683551789006066,0.46063801179630587,0.4586540377030319,0.45714906852393805,0.4583733563346609,0.45615597352453113,0.4561587170266281,0.4549863447171225,0.45856195451726806,0.45601563284034574
16,128.0,103.0,147.0,167.0,190.0,218.0,245.0,273.0,296.0,324.0,378.0,409.0,0.5486397457675514,0.5486397457675514,0.5476789660572661,0.5491705782501897,0.5483797461842184,0.5489046203430719,0.5517299491486239,0.5481087198328422,0.5514022413404647,0.5497772439446332,0.5473113103964592
48,96.0,282.0,445.0,493.0,532.0,589.0,662.0,741.0,818.0,886.0,949.0,1016.0,1.0119752532409374,1.0119752532409374,1.0098573399683703,1.0087081056989853,1.0125968147448428,1.0134837924900673,1.012337266549675,1.0114796290352086,1.0126374396797384,1.009978011071283,1.0074821354414638
64,128.0,331.0,412.0,479.0,560.0,650.0,740.0,819.0,881.0,986.0,1192.0,1275.0,1.0773082735403356,1.0773082735403356,1.0754029640937235,1.0771295238267942,1.0779877255764678,1.0762967126614307,1.0773563463799622,1.0755509549279867,1.0769670240872111,1.0784430633884245,1.0738185916327878
64,512.0,364.0,461.0,548.0,649.0,779.0,915.0,1052.0,1169.0,1257.0,1526.0,1700.0,0.6519134083894941,0.6519134083894941,0.6564684792146838,0.6547588465378195,0.6561891827872752,0.655030356519373,0.6545963467982364,0.6554325433748412,0.6541655532177791,0.6545060691651348,0.6519540333243898
24,24.0,205.0,315.0,340.0,360.0,387.0,420.0,456.0,494.0,529.0,561.0,597.0,1.1570696457173204,1.1570696457173204,1.157700144706903,1.1594573085575952,1.1584411435194022,1.160770739786066,1.158038144165236,1.157555287796189,1.1576156448423198,1.1565214799291268,1.153839150894408
16,24.0,72.4,87.5,98.2,108.0,117.0,127.0,146.0,168.0,197.0,227.0,258.0,1.259502981560944,1.259502981560944,1.2711231902114977,1.2661772890467313,1.269762624210079,1.264377973748438,1.274590343746058,1.2727401681396615,1.2705780774487145,1.2670449391714145,1.2696695561774087
16,24.0,64.0,85.8,95.6,105.0,113.0,121.0,135.0,151.0,172.0,197.0,223.0,1.150418383649147,1.150418383649147,1.1495719077329547,1.1519458812012284,1.149321510406961,1.1512285187144868,1.1609010941226188,1.1524836076122125,1.1515507113799694,1.1516701240673903,1.150072702384943
16,24.0,80.4,98.0,113.0,131.0,151.0,173.0,191.0,205.0,225.0,259.0,275.0,1.2659113803819588,1.2659113803819588,1.2719076207725766,1.2754811377730457,1.2709592132015548,1.2712915990325204,1.271817507280626,1.2662266720844746,1.2693704089295397,1.268384330964342,1.2672763781944572
16,32.0,52.9,77.1,85.4,94.0,102.0,110.0,124.0,141.0,162.0,186.0,215.0,1.0552895588268212,1.0552895588268212,1.0494761306432348,1.0489358190091207,1.048549882127611,1.0466819476211027,1.0525175841024323,1.0514243864495938,1.0516170647122425,1.0478885984651407,1.0501870670039108
16,32.0,63.7,78.0,87.0,96.5,106.0,116.0,135.0,158.0,188.0,221.0,252.0,1.1603050155324208,1.1603050155324208,1.1566040839634149,1.1581600189699233,1.1568458023260446,1.1594388919204426,1.155100961372271,1.1598616233858439,1.1567239275213572,1.1624960536877997,1.1586800181365895
16,24.0,71.5,89.0,104.0,122.0,146.0,174.0,193.0,213.0,239.0,295.0,316.0,1.2791447682654653,1.2791447682654653,1.2749744340396183,1.274984774932137,1.2805961863940145,1.2798875398023963,1.2731308006305295,1.281363206268709,1.2780124405346427,1.2793161316272075,1.273356822995586
8,16.0,155.0,165.0,176.0,188.0,198.0,211.0,222.0,234.0,246.0,257.0,269.0,0.5097779330462452,0.5097779330462452,0.5025304446608375,0.5071887705288872,0.5034282557220343,0.5057381895202085,0.4990069086408766,0.49809884461992027,0.5000462298919603,0.5011997523489178,0.5000181986868822
16,24.0,56.1,78.7,89.0,98.5,107.0,115.0,130.0,147.0,167.0,193.0,219.0,1.1582804165042508,1.1582804165042508,1.1641437025624823,1.1661069948707186,1.1562417834076626,1.157539417691752,1.16522358719553,1.1631364152156898,1.157921439806808,1.1619322288337919,1.1616751837911785
16,24.0,68.5,83.1,93.8,104.0,114.0,126.0,145.0,168.0,197.0,226.0,255.0,1.3001338255381667,1.3001338255381667,1.2895994106021,1.2948599703535142,1.2979511585814931,1.3008748243506656,1.2994675766058756,1.2948738989026212,1.2966371265964096,1.2975850417439778,1.294877697597832
24,16.0,97.3,144.0,161.0,175.0,193.0,215.0,237.0,252.0,268.0,282.0,295.0,0.6707710679009571,0.6707710679009571,0.6766941834087622,0.6766326656502057,0.6785136001358805,0.673528920624168,0.6785606089891172,0.6729041257070768,0.6741139196866672,0.6705559491980803,0.6680048580482818
24,16.0,86.5,132.0,146.0,161.0,179.0,198.0,216.0,230.0,245.0,259.0,273.0,0.655366092588476,0.655366092588476,0.654077701796067,0.6524410972759797,0.655343458696177,0.6549343075661552,0.6545199332302182,0.6522888781321662,0.6541395097327298,0.6557971038025133,0.6493594057860281
48,32.0,192.0,267.0,292.0,320.0,355.0,393.0,419.0,447.0,477.0,498.0,524.0,0.5869490593742749,0.5869490593742749,0.587854415066238,0.590377803879479,0.5891480290645624,0.586286756864231,0.5841807602392337,0.5866107946102447,0.5868707112855474,0.5860398346408932,0.5796748746030784
48,32.0,185.0,266.0,295.0,324.0,360.0,402.0,439.0,478.0,511.0,538.0,571.0,0.6509820817570083,0.6509820817570083,0.6561373859952833,0.6486130676963713,0.65217036110271,0.6486964068485289,0.6488614601554483,0.6506224267211349,0.651925740959016,0.6495849709007352,0.6482590504065653
48,32.0,142.0,234.0,262.0,290.0,324.0,361.0,400.0,430.0,457.0,488.0,518.0,0.6332371101945302,0.6332371101945302,0.6321733172564735,0.6318314874471361,0.6331256818016731,0.6284052965092684,0.6329887177354532,0.6351468137667536,0.6305280073931943,0.632580533865786,0.6297723836041327
16,16.0,145.0,206.0,233.0,252.0,269.0,288.0,306.0,327.0,349.0,367.0,386.0,0.8878628271395281,0.8878628271395281,0.8778983431082906,0.8878953270874448,0.8783663423582899,0.8834148842676588,0.8786588418895396,0.8773662725323983,0.8854216748016407,0.8787227584537756,0.8782415425582902
48,48.0,270.0,446.0,494.0,533.0,587.0,655.0,735.0,816.0,889.0,952.0,1025.0,1.1695073757850134,1.1695073757850134,1.1639417597042911,1.164570633696478,1.1644975088136655,1.1609891394360656,1.162918553010716,1.163939206136955,1.1635265728696562,1.1652097993388382,1.1593511420610678
48,96.0,269.0,440.0,491.0,533.0,585.0,654.0,736.0,814.0,883.0,948.0,1014.0,1.0200758652591564,1.0200758652591564,1.0149652484492668,1.0151087898858986,1.015176498110725,1.013565042359859,1.0126938632004272,1.0124855798040566,1.0148582694540413,1.0163124916605886,1.0109785881714939
32,32.0,260.0,380.0,436.0,474.0,509.0,546.0,587.0,629.0,669.0,710.0,748.0,0.8776204685536034,0.8776204685536034,0.8833339593973464,0.8833502093713046,0.8808611196102399,0.8848062070379695,0.8846810822384904,0.8854309024654241,0.8815204623035986,0.884816498688143,0.8790537162567267
24,24.0,204.0,315.0,340.0,361.0,387.0,419.0,457.0,494.0,530.0,562.0,596.0,1.1576741447485699,1.1576741447485699,1.1521719035662847,1.162878469741619,1.156562646529821,1.1551053488652396,1.161515638592315,1.1590874281979728,1.160004391014192,1.1554381483319058,1.1518371541027435
8,16.0,213.0,233.0,252.0,268.0,283.0,298.0,311.0,324.0,335.0,346.0,353.0,0.2308471300517981,0.2308471300517981,0.23518587309866776,0.23498545675318191,0.23003056886039291,0.2357578721820004,0.23266441880613617,0.23350051865670554,0.23337603224906062,0.23389309739265085,0.23032550588773631
8,18.0,173.0,187.0,200.0,214.0,228.0,244.0,258.0,273.0,293.0,313.0,334.0,0.3553050305995611,0.3553050305995611,0.35863562526205695,0.35876822504955685,0.35894762476205655,0.3640784565395503,0.3593428241287227,0.35669342837455936,0.3574890270995584,0.35636756223011534,0.3556388700645607
16,24.0,59.5,87.6,98.5,109.0,120.0,136.0,153.0,177.0,204.0,233.0,261.0,1.298511782683055,1.298511782683055,1.3039717739330483,1.2969842851309734,1.3042465462199797,1.3022841402739593,1.3005799611868403,1.299090450586869,1.296747921873398,1.2905532348311077,1.2792688589756922
20,32.0,97.1,107.0,118.0,128.0,138.0,151.0,163.0,176.0,189.0,217.0,232.0,1.1436592386369802,1.1436592386369802,1.1466155731849677,1.1454815571451624,1.143283167811088,1.1414348493445723,1.1347960385551459,1.1414247014016514,1.1397470574065163,1.1415374563229947,1.1382340687597547
12,24.0,62.2,104.0,117.0,127.0,137.0,147.0,157.0,170.0,187.0,205.0,227.0,1.037333337602885,1.037333337602885,1.0308387646775459,1.0364702834304322,1.0378533367695513,1.0362608393216364,1.0445519371457002,1.0351713172581458,1.0409042693802244,1.0360357470897694,1.0355956737209429
8,16.0,147.0,161.0,177.0,190.0,203.0,214.0,225.0,234.0,242.0,249.0,254.0,0.4873367190098146,0.4873367190098146,0.49150483733012196,0.491301712655643,0.4934995216335049,0.4841159741712769,0.48887504987786823,0.49064242799790575,0.49095436946228405,0.4866939422621302,0.48455472346815137
8,16.0,157.0,173.0,189.0,204.0,217.0,230.0,243.0,253.0,262.0,270.0,276.0,0.508932934400413,0.508932934400413,0.49787482712178077,0.5014471130636166,0.4986507633782902,0.494509457515014,0.4990556585627515,0.5001277699398583,0.49838060756123326,0.4995025328466051,0.49629532965303275
8,16.0,139.0,164.0,185.0,205.0,223.0,236.0,249.0,263.0,277.0,292.0,302.0,0.3982706117442997,0.3982706117442997,0.40719184744741366,0.40855684525991187,0.4137649619135513,0.409587093608869,0.40800434614532927,0.40581524251065937,0.4061640365945503,0.413751420268586,0.4022551053588781
8,16.0,127.0,141.0,160.0,172.0,184.0,198.0,210.0,222.0,235.0,249.0,258.0,0.5379228879420438,0.5379228879420438,0.5463322494654709,0.5416224653465531,0.5443131902011504,0.5446861271034937,0.5408857998604428,0.5407921690581117,0.5400841344784993,0.5451306541688867,0.5382917623508975
48,96.0,194.0,254.0,303.0,345.0,386.0,427.0,481.0,539.0,597.0,635.0,672.0,1.4279231283228886,1.4279231283228886,1.4281289613263606,1.4289595155508967,1.4313721852955406,1.4232268858489363,1.4286074327818,1.429347709373234,1.4295779173376435,1.4285773402374327,1.424058342849803
48,64.0,227.0,375.0,423.0,463.0,503.0,542.0,583.0,635.0,709.0,800.0,895.0,1.1164798513902223,1.1164798513902223,1.1229940597007613,1.1168200852199743,1.1205855088731274,1.1202914859068192,1.1177798493068873,1.1201992092689845,1.1183460593369974,1.121539348490368,1.1158918054576057
64,64.0,106.0,187.0,229.0,266.0,307.0,350.0,408.0,458.0,501.0,538.0,573.0,0.7816269973896595,0.7816269973896595,0.7888822045126974,0.7843334305524166,0.7843618680068436,0.7829968701943453,0.7843456180328853,0.7867123106686711,0.7834203851406338,0.784954992056322,0.7823289962646586
64,96.0,63.4,95.2,108.0,120.0,131.0,140.0,151.0,171.0,200.0,215.0,227.0,1.5814253065676487,1.5814253065676487,1.5830761561947773,1.5792684918422726,1.584167489673114,1.5835835985633844,1.5843946199909404,1.581745030081244,1.5854028570115357,1.5810141329841578,1.5655483433751967
64,256.0,122.0,220.0,245.0,268.0,295.0,325.0,360.0,448.0,535.0,600.0,602.0,1.2852337997005605,1.2852337997005605,1.2876758660994836,1.2930561309147437,1.2872950073348355,1.2852916902327873,1.2863682510075254,1.287256921458371,1.2864894910476052,1.288621242188621,1.2875677022103234
32,128.0,76.2,122.0,133.0,149.0,164.0,179.0,253.0,290.0,315.0,318.0,318.0,1.2999075261849176,1.2999075261849176,1.3063272815218239,1.3041010350895348,1.3021713506819852,1.300513853338237,1.3046799404117997,1.302410747619764,1.3027426388289571,1.3023236941878444,1.293780270379261
64,256.0,125.0,205.0,233.0,263.0,295.0,330.0,367.0,423.0,500.0,583.0,602.0,1.3634500024787843,1.3634500024787843,1.3624003557234148,1.3673591368391311,1.3626212538069105,1.363821720633081,1.3627837535464935,1.3652850888236483,1.3654891203047097,1.3652280204627232,1.3564924745661953
16,24.0,51.2,71.2,80.7,90.2,103.0,113.0,127.0,144.0,167.0,192.0,205.0,1.0601778464475538,1.0601778464475538,1.0530780850981307,1.0563369435119525,1.0528299036776767,1.0551450817856283,1.0589605756710403,1.0556979185620075,1.0525429439102765,1.0562483072903617,1.0529451307657447
16,24.0,53.3,75.3,84.7,98.0,114.0,128.0,146.0,171.0,192.0,222.0,263.0,1.3536435125125321,1.3536435125125321,1.3613947500906478,1.3513005617218155,1.349723575612679,1.355004964876167,1.3518781744325155,1.3531965327093674,1.355524816315797,1.3532387404339343,1.3393819444585726
16,24.0,47.9,69.7,80.4,93.9,112.0,123.0,142.0,168.0,188.0,218.0,264.0,1.3422626216602735,1.3422626216602735,1.3400644433648219,1.3387289909595204,1.3428764274947897,1.337981492157438,1.3356621776924786,1.3390653865243196,1.3349279743236349,1.3343395282969628,1.3260510567313164
20,24.0,45.2,72.1,81.7,91.4,101.0,110.0,121.0,132.0,141.0,157.0,184.0,1.348520338904584,1.348520338904584,1.337011607348108,1.3359278590848882,1.340298477080676,1.3392053538324802,1.339872852762768,1.3421335634255398,1.3360478588925802,1.3355061930939698,1.3251128764166322
16,24.0,56.1,79.3,89.6,102.0,121.0,132.0,149.0,171.0,195.0,225.0,263.0,1.1708756235923035,1.1708756235923035,1.159946777470158,1.1692181262485557,1.1714362476938653,1.1699041706036684,1.1721844851311276,1.170479293058619,1.1726793707016763,1.1713375167914823,1.1559404202542538
16,24.0,56.1,78.6,89.0,99.4,119.0,129.0,144.0,166.0,191.0,218.0,258.0,1.1394629466605242,1.1394629466605242,1.138886811220184,1.1273700114948195,1.127988987775595,1.1300072345412178,1.1309331876027695,1.1307816618715738,1.135108692274876,1.132485306327515,1.1184118440327093
16,24.0,54.9,78.1,88.7,99.7,116.0,127.0,146.0,168.0,187.0,214.0,248.0,1.2965086040751028,1.2965086040751028,1.298201555907487,1.2887558892266275,1.295620025953655,1.2893219792285209,1.2950771290964114,1.2920755267638258,1.2965706494302165,1.2908388404340114,1.2829206713052335
16,24.0,56.3,80.1,91.3,104.0,120.0,132.0,152.0,176.0,195.0,224.0,259.0,1.2885579349984082,1.2885579349984082,1.2948821294089117,1.2962722408175273,1.2970204782547898,1.2955584237796496,1.2968779216650645,1.296735259556028,1.296891955733483,1.295556257116455,1.282769989728529
16,24.0,54.1,78.4,88.5,99.5,115.0,126.0,143.0,165.0,196.0,226.0,243.0,1.1031132321861372,1.1031132321861372,1.1021958472926725,1.1056659553679524,1.0992198861527616,1.09875233008387,1.1025917557491114,1.0946130185355796,1.1028185167493478,1.0968633937170793,1.095650062328192
36,64.0,51.2,93.4,111.0,129.0,146.0,162.0,176.0,197.0,223.0,255.0,287.0,1.2165655503710933,1.2165655503710933,1.2153636772971765,1.2130680559760656,1.2137511798813132,1.2115030584840802,1.2170042996679677,1.211719486708668,1.216198050960036,1.2276896992105562,1.2151555526307105
44,128.0,46.7,89.8,107.0,124.0,141.0,154.0,167.0,184.0,209.0,240.0,279.0,0.9096453185473962,0.9096453185473962,0.9062495016210023,0.9079459133760713,0.9066202576057879,0.9057376274413151,0.9076978874577604,0.9063563482542843,0.905709403802335,0.9072160899842594,0.9055605882513483
56,192.0,55.0,125.0,151.0,176.0,202.0,232.0,261.0,301.0,357.0,421.0,469.0,1.0827451398273884,1.0827451398273884,1.082801389737244,1.083685763319975,1.0828435771696359,1.0823607654433742,1.0831295142114021,1.0830920142714984,1.0810154550993256,1.0828378480121503,1.079977644262488
64,64.0,54.5,123.0,139.0,150.0,161.0,169.0,181.0,194.0,207.0,218.0,231.0,1.4960619774590893,1.4960619774590893,1.4924179207989376,1.49567197808409,1.4989991602520545,1.4898219874590972,1.4954160409942465,1.4936349277771728,1.4952606506182702,1.496971976000755,1.4927957326934684
20,24.0,43.9,67.4,76.5,85.4,94.5,103.0,114.0,124.0,134.0,148.0,173.0,1.344117845959878,1.344117845959878,1.3497615869153998,1.3403603519815173,1.3471797160530232,1.3452968440704534,1.344922844669813,1.344940701784053,1.343022847714687,1.3414061836388345,1.331247866584894
16,24.0,52.7,75.1,85.0,96.7,114.0,124.0,142.0,164.0,187.0,214.0,250.0,1.1706983511491218,1.1706983511491218,1.1742659590681517,1.1713365319445757,1.1754514685319284,1.1720598035127567,1.1756590250174872,1.1747984095135648,1.178983621962322,1.1732678167283483,1.1597783686491354
16,24.0,52.3,75.4,86.6,98.3,112.0,124.0,140.0,161.0,178.0,201.0,231.0,1.287662709160341,1.287662709160341,1.297798261099249,1.3008872334216883,1.3004551318414332,1.3018533682370281,1.2972856482843824,1.2943040946209659,1.2956510486312118,1.296944891254711,1.2857393031518207
16,24.0,53.8,77.1,87.4,98.4,112.0,122.0,140.0,160.0,177.0,199.0,230.0,1.2952499697285134,1.2952499697285134,1.29316258671005,1.2903779320817392,1.2951923561844796,1.2934045635949931,1.2912052034832533,1.2934050700876878,1.2930805982050786,1.2865252109832592,1.282982716660347
16,24.0,52.2,75.3,86.0,97.4,114.0,126.0,144.0,166.0,185.0,211.0,244.0,1.2987776913478273,1.2987776913478273,1.2967080355736822,1.298470419112979,1.3067615990076187,1.300936869705779,1.3058272255050156,1.3049277788944917,1.3020882542242438,1.3001850375773079,1.2902686140751107
16,24.0,51.0,75.0,84.5,95.0,110.0,120.0,137.0,159.0,187.0,217.0,231.0,1.100312327583868,1.100312327583868,1.098925170715972,1.104292093933295,1.1046643660639763,1.0999152373111412,1.100851531265212,1.1001147954328943,1.0984121885835152,1.100280812482858,1.0981407401548933
36,64.0,46.9,87.8,107.0,124.0,141.0,156.0,171.0,191.0,215.0,243.0,272.0,1.215024302841047,1.215024302841047,1.2220424165940433,1.217770548440002,1.2160480512004208,1.2195055456595512,1.2181480478350337,1.2172373350087986,1.2182371101923053,1.2305646946031807,1.2200417948001756
44,128.0,44.6,84.8,102.0,120.0,136.0,150.0,163.0,181.0,205.0,238.0,272.0,0.9010088850194462,0.9010088850194462,0.90405575513663,0.9039176303579841,0.9046381884137672,0.9034489468985549,0.9055853908431795,0.9042524042575764,0.9031564473673054,0.9105487600820257,0.9014142791066166
